,WineName,Winery,Country,Rating,NumberOfRatings,Price
0,Clos de Tafall 2017,Clos Berenguer,Spain,4.2,492 ratings,23.0
1,Montessu 2017,Punica,Italy,4.2,362 ratings,34.95
2,Barrique Select Tinto 2016,Herdade do Sobroso,Portugal,4.2,154 ratings,16.04
3,Sammarcello Pignatello 2015,Barone di Serramarrocco,Italy,4.2,112 ratings,22.76
4,Speck Family Reserve Baco Noir 2018,Henry of Pelham,Canada,4.2,61 ratings,24.75
5,Cellar Hand Punch Down Red 2015,Black Hills Estate,Canada,4.2,55 ratings,22.95
6,Duca Sanfelice Cirò Classico Superiore Riserva Rosso 2017,Librandi,Italy,4.2,38 ratings,14.36
7,Pinot Noir 2018,Meiomi,United States,4.1,1565 ratings,19.98
8,Reserva 2015,Muga,Spain,4.1,3612 ratings,23.0
9,Ripassa Valpolicella Ripasso Superiore 2016,Zenato,Italy,4.1,3240 ratings,21.0
10,Red Blend 2017,Conundrum,United States,4.1,3010 ratings,20.0
11,Angels' Share Shiraz 2018,Two Hands,Australia,4.1,1763 ratings,21.95
12,Negroamaro 2017,Luccarelli,Italy,4.1,5995 ratings,16.99
13,Crasto Superior Red 2016,Quinta do Crasto,Portugal,4.1,1444 ratings,22.76
14,Cabernet Sauvignon 2018,Tom Gore,United States,4.1,769 ratings,22.99
15,Brickmason 2016,Klinker Brick,United States,4.1,643 ratings,25.49
16,Conde d'Ervideira Reserva Tinto 2017,Ervideira,Portugal,4.1,571 ratings,21.23
17,Cerasuolo Di Vittoria 2017,Gulfi,Italy,4.1,447 ratings,24.29
18,Mendocino County Zinfandel 2015,Edmeades,United States,4.1,425 ratings,22.0
19,Valley Floor Shiraz 2017,Langmeil,Australia,4.1,393 ratings,23.0
20,Montagne-Saint-Émilion 2015,Château Tour Bayard,France,4.1,381 ratings,22.0
21,Soltema Primitivo del Salento 2016,Antica Masseria Jorche,Italy,4.1,160 ratings,22.74
22,Aglianico del Vulture 2013,Quarta Generazione,Italy,4.1,128 ratings,22.61
23,Tinto 2015,Quinta do Côa,Portugal,4.1,108 ratings,24.97
24,Tyto Alba Touriga Nacional 2015,Companhia das Lezírias,Portugal,4.1,101 ratings,16.8
25,Nativae Montepulciano D'Abruzzo 2016,Tenuta Ulisse,Italy,4.1,79 ratings,24.29
26,Rosso di Montalcino 2018,Ciacci Piccolomini d'Aragona,Italy,4.1,63 ratings,22.15
27,Chianti Classico 2015,Setriolo,Italy,4.1,62 ratings,21.85
28,Barbera d'Alba Superiore 2017,Boasso,Italy,4.1,51 ratings,17.72
29,Malbec 2018,Claroscuro Bodega de Arte,Argentina,4.1,34 ratings,22.95
30,Vidente 2016,Mira do Ó,Portugal,4.1,30 ratings,15.12
31,Rover Shiraz - Viognier 2017,See Ya Later Ranch,Canada,4.1,26 ratings,21.99
32,Guarda Rios Signature Tinto 2018,Vale d'Algares,Portugal,4.0,1409 ratings,19.99
33,Estates Seven Oaks Cabernet Sauvignon 2017,J. Lohr,United States,4.0,7588 ratings,23.99
34,Pinot Noir 2017,Bread & Butter,United States,4.0,5709 ratings,22.99
35,Tres Picos Garnacha 2016,Borsao,Spain,4.0,3851 ratings,27.49
36,Barossa Ink Shiraz 2016,Grant Burge,Australia,4.0,3421 ratings,14.25
37,Red (Shiraz - Grenache - Mataro) 2017,19 Crimes,Australia,4.0,11340 ratings,16.5
38,Syrah 2017,Les Jamelles,France,4.0,1200 ratings,17.14
39,Rosso Veneto 2018,Gran Passione,Italy,4.0,1100 ratings,21.99
40,Shiraz 2015,Heartland,Australia,4.0,1079 ratings,22.99
41,Petite Sirah 2018,McManis,United States,4.0,877 ratings,24.47
42,Hito 2017,Cepa 21,Spain,4.0,863 ratings,26.12
43,Aska Bolgheri 2016,Banfi,Italy,4.0,809 ratings,24.74
44,Felino Cabernet Sauvignon 2018,Viña Cobos,Argentina,4.0,767 ratings,21.25
45,Valle Escondido Reserva Malbec 2016,Gouguenheim,Argentina,4.0,763 ratings,18.75
46,Atteca Garnacha (Old Vines) 2016,Bodegas Ateca,Spain,4.0,723 ratings,20.5
47,Guarda Blend 2014,Lagarde,Argentina,4.0,568 ratings,24.0
48,Côtes de Provence (Cru Classé) 2016,Rimauresq,France,4.0,494 ratings,24.14
49,Nerojbleo 2015,Gulfi,Italy,4.0,483 ratings,23.68
50,Terroir Hunter Carignan (T.H.) 2014,Undurraga,Chile,4.0,465 ratings,23.0
51,Orfeo Negroamaro 2016,Paololeo,Italy,4.0,397 ratings,24.29
52,Domaine de Bila-Haut l'Esquerda Côtes du Roussillon Villages 2017,M. Chapoutier,France,4.0,364 ratings,23.0
53,Alentejano Tinto 2018,Fitapreta,Portugal,4.0,329 ratings,23.87
54,Cabernet Sauvignon 2017,Frei Brothers,United States,4.0,318 ratings,23.0
55,Grand Classique Red Blend 2015,Glen Carlou,South Africa,4.0,310 ratings,24.24
56,Dez Tostões Tinto 2018,Herdade da Maroteira,Portugal,4.0,249 ratings,18.18
57,Ripasso Valpolicella Superiore 2015,Viviani,Italy,4.0,231 ratings,19.4
58,Old Vines Grenache - Shiraz - Mourvedre 2017,Torbreck,Australia,4.0,202 ratings,25.49
59,Carmenère Reserva 2017,Falernia,Chile,4.0,201 ratings,22.99
60,Côtes Du Rhône Villages 2014,Château de la Gardine,France,4.0,181 ratings,23.0
61,Petite Sirah 2017,Ironstone,United States,4.0,176 ratings,23.49
62,Wheelhouse Zinfandel 2015,Sextant,United States,4.0,153 ratings,19.75
63,Le Farnete Carmignano 2016,Pierazzuoli,Italy,4.0,123 ratings,18.18
64,Cabernet Sauvignon 2018,Lyeth,United States,4.0,123 ratings,24.99
65,Chavignol Sancerre Rouge 2016,Domaine Delaporte,France,4.0,103 ratings,22.15
66,Tradition Côtes-du-Rhône-Villages 'Seguret' 2016,Mourchon,France,4.0,102 ratings,23.95
67,Beyer Ranch Zinfandel 2016,Wente,United States,4.0,101 ratings,20.99
68,Gran Reserva de Los Andes Carménère 2017,Doña Dominga,Chile,4.0,98 ratings,13.5
69,Chianti Classico 2012,Solatione,Italy,4.0,94 ratings,20.45
70,Hangin' Snakes Shiraz - Viognier 2017,Langmeil,Australia,4.0,91 ratings,24.99
71,Pegrandi Valpolicella Ripasso Classico Superiore 2017,Vaona,Italy,4.0,90 ratings,23.1
